ID,LEVEL,target,xt,yt,zt,xr,yr,zr,type,startOn
lvl0Door1,LEVELZERO,room0room1Door,5,0,-3,0,90,0,DOOR,1
lvl0Door2,LEVELZERO,t_lvlzero_room1,7,0,-4,0,0,0,TERMINAL,1
lvl0END,LEVELZERO,NULL,-2,0,-4,0,0,0,LEVEL_END,0
lvl1END,LEVELONE,NULL,1.5,0,29,0,0,0,LEVEL_END,0
lv1Door1,LEVELONE,lvl1HangerHallDoor,1.5,0,5,0,0,0,DOOR,1
lvl1Door2,LEVELONE,lvl1Room2Door,3,0,10,0,90,0,DOOR,1
lvl1Door3,LEVELONE,lvl1Room0Door,-3,0,18,0,90,0,DOOR,1
lvl1Door4,LEVELONE,lvl1Room1Door,-3,0,11,0,90,0,DOOR,1
lvl1Door5,LEVELONE,lvl1Room4Door,1.5,0,19,0,0,0,DOOR,1
lvl1Door6,LEVELONE,lvl1Room3Door,6.5,0,10,0,0,0,DOOR,0
lvl2Door0,LEVELTWO,lvl2Room0Door,-15,0,-5,0,90,0,DOOR,1
lvl2Door1,LEVELTWO,lvl2Room1Door,-15,0,-7,0,90,0,DOOR,0
lvl2Door2,LEVELTWO,lvl2Room2Door,15,0,-7,0,90,0,DOOR,1
lvl2Door3,LEVELTWO,lvl2Room3Door,15,0,-5,0,90,0,DOOR,0
lvl2END,LEVELTWO,NULL,-1,0,-18,0,90,0,LEVEL_END,0
lvl3Room0,LEVELTHREE,lvl3Room0Door,-8,0,-0.5,0,90,0,DOOR,1
lvl3Room1,LEVELTHREE,lvl3Room1Door,-8,0,-6.5,0,90,0,DOOR,1
lvl3Room2,LEVELTHREE,lvl3Room2Door,-8,0,-12.5,0,90,0,DOOR,0
lvl3Room3,LEVELTHREE,lvl3Room3Door,-8,0,-18.5,0,90,0,DOOR,0
lvl3Room7,LEVELTHREE,lvl3Room7Door,8,0,-0.5,0,90,0,DOOR,0
lvl3Room6,LEVELTHREE,lvl3Room6Door,8,0,-6.5,0,90,0,DOOR,0
lvl3Room5,LEVELTHREE,lvl3Room5Door,8,0,-12.5,0,90,0,DOOR,0
lvl3Room4,LEVELTHREE,lvl3Room4Door,8,0,-18.5,0,90,0,DOOR,0
lvl3Room0END,LEVELTHREE,NULL,-13,0,-0.5,0,90,0,LEVEL_END,0
lvl3Room1END,LEVELTHREE,NULL,-13,0,-6.5,0,90,0,LEVEL_END,0
lvl3Room2END,LEVELTHREE,NULL,-13,0,-12.5,0,90,0,LEVEL_END,0
lvl3Room3END,LEVELTHREE,NULL,-13,0,-18.5,0,90,0,LEVEL_END,0
lvl3Room7END,LEVELTHREE,NULL,13,0,-0.5,0,90,0,LEVEL_END,0
lvl3Room6END,LEVELTHREE,NULL,13,0,-6.5,0,90,0,LEVEL_END,0
lvl3Room5END,LEVELTHREE,NULL,13,0,-12.5,0,90,0,LEVEL_END,0
lvl3Room4END,LEVELTHREE,NULL,13,0,-18.5,0,90,0,LEVEL_END,0
lvl3Room8,LEVELTHREE,lvl3Room8Door,-1.5,0,-2,0,0,0,DOOR,0
lvl3Room9,LEVELTHREE,lvl3Room9Door,1.5,0,-20,0,0,0,DOOR,1
