ID,LEVEL,tag,xt,yt,zt,xr,yr,zr
t_lvlzero_room1,LEVELZERO,lv0TM1.tm,7,0,-2,0,0,0
t_lvl1Room0,LEVELONE,lvl1TM0.tm,-13,0,15,0,180,0
t_lvl1Room1,LEVELONE,lvl1TM1.tm,-13,0,8,0,180,0
t_lvl1Room3,LEVELONE,lvl1TM2.tm,17,0,-2,0,90,0
t_lvl2Room0,LEVELTWO,lvl2TM0.tm,-6,0,-3,0,0,0
t_lvl2Room1,LEVELTWO,lvl2TM1.tm,-6,0,-9,0,0,0
t_lvl2Room2,LEVELTWO,lvl2TM2.tm,6,0,-9,0,180,0
t_lvl2Room3,LEVELTWO,lvl2TM3.tm,6,0,-3,0,180,0
t_lvl3Room0,LEVELTHREE,lvl3TM0.tm,-10,0,-4,180,-90,0
t_lvl3Room1,LEVELTHREE,lvl3TM1.tm,-10,0,-10,180,-90,0
t_lvl3Room2,LEVELTHREE,lvl3TM2.tm,-10,0,-16,180,-90,0
t_lvl3Room3,LEVELTHREE,lvl3TM3.tm,-10,0,-22,180,-90,0
t_lvl3Room4,LEVELTHREE,lvl3TM4.tm,10,0,-22,180,-90,0
t_lvl3Room5,LEVELTHREE,lvl3TM5.tm,10,0,-16,180,-90,0
t_lvl3Room6,LEVELTHREE,lvl3TM6.tm,10,0,-10,180,-90,0
t_lvl3Room7,LEVELTHREE,lvl3TM7.tm,10,0,-4,180,-90,0
t_lvl3Room8,LEVELTHREE,lvl3TM8.tm,0,0,-11,0,90,0
t_lvl3Room9,LEVELTHREE,lvl3TM9.tm,0,0,-16,0,-90,0
