ID,LEVEL,X1,X2,X3,X4,Y1,Y2,Y3,Y4,Z1,Z2,Z3,Z4,R,G,B,A,Axis
lvlceiling,LEVELZERO,-5,-5,8,8,1,1,1,1,-4,1,1,-4,0.70,0.70,0.70,1,0
lvlfloor,LEVELZERO,-5,-5,8,8,-1,-1,-1,-1,-4,1,1,-4,0.70,0.70,0.70,1,0
room0frntlftwall,LEVELZERO,5,5,5,5,-1,1,1,-1,-4,-4,-2.5,-2.5,0.29,0.29,0.29,1,z
room0frntrghtwall,LEVELZERO,5,5,5,5,-1,1,1,-1,-0.5,-0.5,1,1,0.29,0.29,0.29,1,z
room0backwall,LEVELZERO,-5,-5,-5,-5,-1,1,1,-1,-4,-4,1,1,0.29,0.29,0.29,1,z
room0rghtwall,LEVELZERO,-5,-5,5,5,-1,1,1,-1,1,1,1,1,0.29,0.29,0.29,1,x
room0frnttopwall,LEVELZERO,5,5,5,5,0.5,1,1,0.5,-2.5,-2.5,-0.5,-0.5,0.29,0.29,0.29,1,z
room1lftwall,LEVELZERO,5,5,8,8,-1,1,1,-1,-4,-4,-4,-4,0.29,0.29,0.29,1,x
room1rghtwall,LEVELZERO,5,5,8,8,-1,1,1,-1,1,1,1,1,0.29,0.29,0.29,1,x
room1frntbotwall,LEVELZERO,8,8,8,8,-1,-0.5,-0.5,-1,-4,-4,1,1,0.29,0.29,0.29,1,z
room1frnttopwall,LEVELZERO,8,8,8,8,0.5,1,1,0.5,-4,-4,1,1,0.29,0.29,0.29,1,z
room0lftlftwall,LEVELZERO,-5,-5,-1.5,-1.5,-1,1,1,-1,-4,-4,-4,-4,0.29,0.29,0.29,1,x
room0lftrghtwall,LEVELZERO,1.5,1.5,5,5,-1,1,1,-1,-4,-4,-4,-4,0.29,0.29,0.29,1,x
room0lfttopwall,LEVELZERO,-1.5,-1.5,1.5,1.5,0.70,1,1,0.70,-4,-4,-4,-4,0.29,0.29,0.29,1,x
room0frntmidwall,LEVELZERO,8,8,8,8,0.5,-0.5,-0.5,0.5,-4,-4,1,1,0.12,0.56,1,0.60,z
lvl1Floor,LEVELONE,30,30,-30,-30,-1,-1,-1,-1,40,-5,-5,40,0.70,0.70,0.70,1,0
lv1HangarCeiling,LEVELONE,15,15,-15,-15,5,5,5,5,5,-5,-5,5,0.70,0.70,0.70,1,0
lv1HangerFrntLeftWall,LEVELONE,15,15,1,1,-1,5,5,-1,5,5,5,5,0.80,0,0,1,x
lv1HangerFrntRghtWall,LEVELONE,-1,-1,-15,-15,-1,5,5,-1,5,5,5,5,0.80,0,0,1,x
lvl1HangerFrntTopWall,LEVELONE,1,1,-1,-1,1,5,5,1,5,5,5,5,0.80,0,0,1,x
lvl1HangerRghtWall,LEVELONE,-15,-15,-15,-15,-1,5,5,-1,5,5,-5,-5,0.80,0,0,1,z
